EventID,NETSTATIONID,LATITUDE,LONGITUDE,MAGNITUDE
1996086,CI.SNCC,34.55,-117.43,nan
4768129,UU.ALT,40.86,-112.18,7.43429957762
3323713,US.MSO,40.43,-117.22,5.76523609092
769014,CI.ISA,34.55,-117.43,5.0831858319
2874984,CI.IRM,34.55,-117.43,4.4736945713
1996086,IM.NV31,48.26,-117.13,7.32468917286
914505,AZ.CRY,33.62,-116.47,6.01177784766
2842975,IM.NV09,48.26,-117.13,6.57402224662
2832575,CI.SBC,34.55,-117.43,4.43994630082
2844129,CI.RPV,34.55,-117.43,7.55672284974
3320897,LD.BRNJ,43.38,-73.67,5.54355691575
2634387,AZ.FRD,33.62,-116.47,5.09613384091
2160222,CI.GRA,36.44,-118.08,6.22047276792
4417721,UU.NOQ,40.86,-112.18,7.68472668318
3327016,TA.SFIN,27.06,-98.68,7.98547129726
2218025,TA.M04C,48.72,-122.71,6.26969547172
3334411,IU.COR,44.59,-123.30,4.11158269943
3378043,CI.FUR,34.55,-117.43,5.15352399439
843259,CI.SDD,34.55,-117.43,5.93112906878
4599933,TA.G03D,48.72,-122.71,5.93839255467
4218655,UU.CWR,40.86,-112.18,7.63856503495
628690,CI.SVD,34.55,-117.43,3.20337780772
2729575,IU.TUC,34.95,-106.46,6.55942063454
2592787,IM.NV07,48.26,-117.13,5.20940837319
4417721,CI.Q0018,34.55,-117.43,7.9084359125
4218655,CI.SLA,34.55,-117.43,6.88127741077
628690,CI.VTV,34.55,-117.43,3.58567962033
3320897,PO.PECO,43.61,-80.06,4.5861234338
843259,CI.CHF,34.55,-117.43,6.39055704178
4768129,CI.USC,34.55,-117.43,6.79828624427
4768129,CI.BAR,34.55,-117.43,6.40686620848
2828683,CI.SBC,34.55,-117.43,3.68344628321
4768129,UU.BGU2,40.86,-112.18,4.87778820966
4417721,CI.Q0011,34.55,-117.43,7.82690224303
2793821,CN.BBB,48.93,-123.74,4.21522258797
4768129,CI.Q0020,34.55,-117.43,6.51103930368
4768129,UU.BYP,40.86,-112.18,8.0669225385
2634387,CI.SVD,34.55,-117.43,4.41208134268
2729575,CI.RPV,34.55,-117.43,6.92378491077
3334411,CI.SCZ2,34.55,-117.43,6.13878232628
4218655,IM.NV04,48.26,-117.13,6.11641998653
2844129,IM.NV07,48.26,-117.13,5.96616421994
2729575,AZ.MONP2,33.62,-116.47,5.90266442447
3334467,TA.B05D,48.72,-122.71,6.54588504333
2708906,CI.FUR,35.13,-118.83,5.70968973233
3337553,BK.WDC,40.88,-124.08,4.58096392266
2218025,CI.PHL,36.44,-118.08,nan
3327016,TA.WHTX,27.06,-98.68,5.98105429811
4768129,TA.214A,32.89,-117.11,6.71144633355
4768129,UU.CWU,40.86,-112.18,9.03728087181
1486703,CN.LLLB,48.93,-123.74,4.78029661382
4218655,UO.DBO,44.20,-122.99,5.21748188566
3321934,TA.C06D,48.72,-122.71,6.03403740196
3320897,LD.SDMD,43.38,-73.67,6.46630952858
3327016,TA.BGNE,27.06,-98.68,7.88599118675
4223014,TA.J01E,48.72,-122.71,4.92040719334
3334007,US.NEW,44.85,-117.31,5.86434341047
2634387,CI.BAK,34.55,-117.43,5.33505032295
3334467,IM.NV10,48.26,-117.13,5.20878210054
4482428,CI.TIN,35.13,-118.83,7.89360922723
4768129,UU.NOQ,40.86,-112.18,7.26063115451
2842975,AZ.FRD,33.62,-116.47,7.31091866416
914505,AZ.SND,33.62,-116.47,6.06159168257
351741,AZ.LVA2,33.62,-116.47,3.9860803648
3337553,IM.NV01,48.26,-117.13,6.29625675495
628690,CI.TIN,34.55,-117.43,3.17766811854
3327016,US.NATX,34.88,-101.68,5.36945398473
4417721,IM.NV07,48.26,-117.13,7.23369891799
4218655,AZ.SOL,33.62,-116.47,4.9199706767
4768129,UU.MSU,40.86,-112.18,9.05894929304
3321934,TA.I04A,48.72,-122.71,4.24189186987
4368968,TA.J05D,48.72,-122.71,6.73575979294
3337553,TA.F04D,48.72,-122.71,6.71279391791
4218655,UU.NLU,40.86,-112.18,5.84708004948
4417721,CI.QSD06,34.55,-117.43,7.73939988462
727122,CI.ISA,34.55,-117.43,4.56065670926
4417721,UU.ELE,40.86,-112.18,8.73780934025
2729575,AZ.KNW,33.62,-116.47,5.91837242269
3321934,US.NEW,44.85,-117.31,6.89505675081
2844129,CI.MPM,34.55,-117.43,6.22875162588
